fid,Nom,azimuth,type,longueur,x1,y1,x2,y2,magnitude
"378",,9.96380418990177,,491.476440159361,690647.81290626,6500250.51389811,690562.77470152,6499766.45027113,4.4
"379",,8.13010235415601,,231.273427813245,688992.838614014,6500499.08711197,688960.131612191,6500270.13809921,3.5
"380",,6.24191434740129,,421.146308468436,689221.787626775,6500956.98513749,689175.997824223,6500538.33551416,4.2
"381",,97.2024953814654,,1200.0038062543,688266.743173542,6500662.62212108,689457.278039901,6500512.1699127,5.4
"382",,13.6713071321835,,498.178209715032,688220.95337099,6499943.06808098,688103.208164427,6499459.004454,4.4
"383",,18.9542316995135,,684.725594326566,688057.418361874,6500047.73048681,687835.010749478,6499400.13185071,4.7
"384",,75.7064418869256,,1059.80780179585,688875.093407451,6495992.06226075,689902.093264695,6496253.71827534,5.2
"385",,65.1363034282861,,295.596031852409,687403.278325413,6495337.92222429,687671.475740362,6495462.20883122,3.8
"386",,81.4308581201747,,482.913094748026,687736.889744009,6495612.6610396,688214.411970625,6495684.61644362,4.3
"387",,15.2551187030865,,223.750318243579,687108.915309006,6494618.36818418,687167.787912287,6494834.23439622,3.5
"388",,14.6763931374489,,568.010552036861,687285.53311885,6494958.52100314,687429.443926872,6495507.99863377,4.5
"389",,0.511555866585741,,732.666042935294,687023.877104266,6494834.23439622,687030.418504631,6495566.87123705,4.8
"390",,108.138082155698,,399.239836777204,689051.711217295,6499576.74966056,689431.112438443,6499452.46305363,4.1
"391",,25.1329549929056,,585.263444471578,697110.716466496,6493467.08172001,697359.289680351,6493996.93514955,4.6
"392",,90.2501983201971,,1497.99496596133,696345.372623836,6492799.85888282,697843.353307332,6492793.31748246,5.6
"393",,35.7066914005966,,1288.92148507872,698124.63352301,6492773.69328136,698876.89456494,6493820.3173397,5.4
"394",,95.7105931374908,,1577.7662412549,695481.907775708,6493604.45112767,697051.843863214,6493447.45751892,5.7
"395",,106.755748929255,,635.324565384871,696685.525442796,6494088.51475465,697293.875676705,6493905.35554444,4.7
"396",,109.043530573051,,1363.2661296335,696489.283431857,6494729.57199038,697777.939303686,6494284.75676559,5.5
"397",,73.8986976008668,,660.422320652568,697346.206879621,6493996.93514955,697980.722714989,6494180.09435975,4.7
"398",,105.993584097754,,1068.35307469379,697908.767310978,6494193.17716048,698935.767168222,6493898.81414407,5.2
"399",,98.6606036708685,,999.144035649606,696450.03502967,6495357.54642538,697437.786484726,6495207.094217,5.2
"400",,53.8017083232216,,1450.98228154549,694788.519337059,6494657.61658637,695959.430002324,6495514.54003413,5.6
"401",,82.2348339815871,,1016.69861156769,698647.945552179,6495527.62283486,699655.321208329,6495664.99224252,5.2
"402",,76.7014296695265,,739.38082318656,698942.308568586,6496391.08768299,699661.862608694,6496561.16409247,4.8
"403",,30.4655449194536,,645.082909129128,700100.136433123,6497123.72452383,699773.066414892,6496567.70549284,4.7
"404",,174.417394243467,,874.152371547325,699988.932626924,6498078.76897706,700073.970831664,6497208.76272857,5
"405",,100.388857815452,,399.025422241295,698432.079340147,6497875.98556576,698824.563362024,6497804.03016175,4.1
"406",,68.3440109616084,,478.596317330442,698844.187563117,6497836.73716357,699289.002787911,6498013.35497341,4.3
"407",,101.513831184469,,720.979842113197,697006.054060662,6497476.96014352,697712.52530004,6497333.0493355,4.8
"408",,162.159795692303,,597.849639251172,697705.983899675,6497378.83913805,697889.143109884,6496809.73730633,4.6
"409",,46.4441255309859,,550.605643089989,696371.538225295,6497071.39332091,696770.563647536,6497450.79454206,4.5
"410",,35.7889734592301,,346.755925156897,696894.850254463,6497588.16394972,697097.633665766,6497869.44416539,4
"411",,101.309932474003,,833.86820263423,696731.315245348,6498026.43777414,697548.990290924,6497862.90276503,5
"412",,60.7511736634936,,562.294148552784,697516.283289101,6497817.11296248,698006.888316447,6498091.85177779,4.5
"413",,3.40644375500108,,550.450192595202,698896.518766034,6497686.28495518,698863.811764211,6497136.80732456,4.5
"414",,83.102572442259,,817.046829813727,698818.021961659,6497091.01752201,699629.155606871,6497189.13852747,4.9
"415",,37.3331957381629,,485.387775421179,698471.327742335,6496665.82649831,698765.690758742,6497051.76911982,4.4
"416",,70.9065079995386,,179.977688835817,697352.748279986,6497038.68631909,697522.824689466,6497097.55892237,3.2
"417",,105.694924143461,,822.163211400218,697058.385263579,6497169.51432638,697849.894707697,6496947.10671398,4.9
